region,unique_id,population,men,women,b_00_14,b_15_24,b_25_44,b_45_64,b_65_oo,unmarried,married,divorced,widowed
Noord-Beveland,GM1695,7308,3669,3639,900,671,1404,2307,2026,2747,3380,716,465
Wijdemeren,GM1696,24013,11744,12269,3684,2537,4420,7660,5712,10378,10287,1964,1384
Noordenveld,GM1699,31290,15544,15746,4634,3074,5731,9511,8340,12849,14090,2353,1998
Twenterand,GM1700,33792,17161,16631,6203,4247,7488,9555,6299,14671,15514,1672,1935
Westerveld,GM1701,19348,9628,9720,2526,1920,3296,6228,5378,7512,9044,1426,1366
Sint Anthonis,GM1702,11606,6006,5600,1684,1457,2244,3743,2478,5194,5224,548,640
Lingewaard,GM1705,46475,23041,23434,7546,5309,9728,14140,9752,20253,20573,3183,2466
Cranendonck,GM1706,20440,10281,10159,2936,2214,4216,6212,4862,8481,9302,1470,1187
Steenwijkerland,GM1708,43940,22138,21802,6938,5054,9279,13021,9648,18799,19435,3161,2545
Moerdijk,GM1709,36961,18535,18426,5599,4049,7882,11474,7957,15456,16508,2725,2272
Echt-Susteren,GM1711,31638,15868,15770,3902,3060,6376,10329,7971,12752,14108,2618,2160
Sluis,GM1714,23386,11572,11814,2953,2130,4598,7120,6585,9071,10579,2011,1725
Drimmelen,GM1719,27150,13590,13560,3850,3031,5724,8519,6026,11382,12527,1737,1504
Bernheze,GM1721,30806,15529,15277,4900,3902,6613,9058,6333,13760,13716,1644,1686
Alphen-Chaam,GM1723,10149,5194,4955,1509,1158,1990,3206,2286,4247,4818,580,504
Bergeijk,GM1724,18491,9440,9051,2706,2240,3845,5637,4063,7844,8527,1136,984
Bladel,GM1728,20175,10227,9948,3090,2361,4429,5970,4325,8953,8847,1263,1112
Gulpen-Wittem,GM1729,14246,7218,7028,1579,1330,2656,4731,3950,5289,6885,1053,1019
Tynaarlo,GM1730,33698,16553,17145,5775,3184,6326,10364,8049,14685,14414,2499,2100
Midden-Drenthe,GM1731,33178,16556,16622,4862,3805,6384,10425,7702,13853,15120,2208,1997
Overbetuwe,GM1734,47543,23638,23905,8270,5624,10208,14300,9141,20996,20963,3389,2195
Hof van Twente,GM1735,34940,17390,17550,5170,4052,6641,10380,8697,14652,15761,2033,2494
Neder-Betuwe,GM1740,24026,12119,11907,4994,3410,5384,6183,4055,10762,10974,1136,1154
Rijssen-Holten,GM1742,38300,19084,19216,7710,4988,8855,9667,7080,16642,18177,1448,2033
Geldrop-Mierlo,GM1771,39595,19642,19953,6156,4367,8974,11493,8605,17414,16834,3099,2248
Olst-Wijhe,GM1773,18071,9145,8926,2789,2133,3573,5718,3858,7779,8173,1124,995
Dinkelland,GM1774,26350,13432,12918,4008,3552,5217,7863,5710,11748,11978,1076,1548
Westland,GM1783,108603,54216,54387,17969,13254,26211,30341,20828,50351,46720,6530,5002
Midden-Delfland,GM1842,19391,9717,9674,3360,2479,4092,5892,3568,8686,8829,1022,854
Berkelland,GM1859,43904,21991,21913,6386,4982,8207,13523,10806,18552,20062,2318,2972
Bronckhorst,GM1876,36212,18054,18158,4941,4184,5971,11933,9183,15033,16624,2088,2467
Sittard-Geleen,GM1883,92661,45685,46976,11664,9880,20501,28728,21888,39693,37504,9242,6222
Kaag en Braassem,GM1884,26866,13614,13252,4186,3083,5817,8266,5514,11964,11851,1732,1319
Dantumadiel,GM1891,18923,9515,9408,3138,2276,3949,5433,4127,8136,8642,1016,1129
Zuidplas,GM1892,42762,21204,21558,7637,5092,9689,12532,7812,18763,19254,2855,1890
Peel en Maas,GM1894,43311,21997,21314,6262,4851,9339,13336,9523,18904,19630,2395,2382
Oldambt,GM1895,38129,18980,19149,5264,4082,7656,11880,9247,15795,16113,3549,2672
Zwartewaterland,GM1896,22503,11449,11054,4604,3115,5343,5625,3816,9766,10916,890,931
Súdwest-Fryslân,GM1900,89710,45109,44601,14654,10365,18457,26394,19840,41090,36945,6710,4965
Bodegraven-Reeuwijk,GM1901,34463,17228,17235,6103,4195,7667,9652,6846,15332,15408,2082,1641
Eijsden-Margraten,GM1903,25658,12843,12815,3508,2774,5158,7871,6347,10147,12411,1606,1494
Stichtse Vecht,GM1904,64336,31461,32875,11014,6908,14153,19291,12970,29405,26694,5009,3228
Hollands Kroon,GM1911,47815,24257,23558,7538,5761,10265,14448,9803,21017,21110,3316,2372
Leidschendam-Voorburg,GM1916,75425,36326,39099,12188,7164,18104,20712,17257,35546,28745,6833,4301
Goeree-Overflakkee,GM1924,49611,24506,25105,7964,5675,10734,14549,10689,19610,23974,3147,2880
Pijnacker-Nootdorp,GM1926,54331,27017,27314,10948,6823,12566,16025,7969,26241,22844,3275,1971
Nissewaard,GM1930,84797,41470,43327,13101,9604,20549,25030,16513,37581,35190,7663,4363
Krimpenerwaard,GM1931,56048,27788,28260,9336,7086,12169,15776,11681,24099,25769,3272,2908
De Fryske Marren,GM1940,51430,25860,25570,8247,5827,10444,15190,11722,22623,22324,3469,3014
Gooise Meren,GM1942,57715,27870,29845,10852,6030,11852,16715,12266,28019,21592,4908,3196
Berg en Dal,GM1945,34798,17324,17474,4668,3874,6785,11000,8471,15100,14848,2484,2366
Meierijstad,GM1948,80815,40573,40242,12637,9466,18338,23973,16401,36212,34904,5524,4175
Waadhoeke,GM1949,46039,23359,22680,7329,5341,9620,13852,9897,20767,19564,3261,2447
Westerwolde,GM1950,25199,12605,12594,3515,2544,4649,7913,6578,9901,11381,2053,1864
Midden-Groningen,GM1952,60899,30563,30336,9028,6827,12828,18968,13248,27000,25085,5146,3668
Beekdaelen,GM1954,35727,17785,17942,4601,3570,7048,11278,9230,13775,16889,2632,2431
Montferland,GM1955,36026,18012,18014,4906,4200,7075,11516,8329,14905,16372,2371,2378
Altena,GM1959,55386,27876,27510,9833,6774,12372,15658,10749,23531,26124,2920,2811
West Betuwe,GM1960,50697,25322,25375,8774,6225,10847,15240,9611,22062,23199,2995,2441
Vijfheerenlanden,GM1961,55712,27566,28146,9595,6757,12937,15323,11100,24573,24685,3431,3023
Hoeksche Waard,GM1963,86656,42894,43762,13667,9639,18266,25916,19168,34981,40921,6022,4732
Het Hogeland,GM1966,47888,24066,23822,7437,5410,9514,14516,11011,20819,20727,3565,2777
Westerkwartier,GM1969,63031,31691,31340,10868,7341,13331,18709,12782,28469,27389,3955,3218
Noardeast-Fryslân,GM1970,45181,22791,22390,7752,5301,9616,13091,9421,20563,19123,2959,2536
Molenlanden,GM1978,43858,22226,21632,8220,6120,9391,12006,8121,18908,20864,2055,2031
